{'诊断': '慢性结/直肠炎/溃疡性结肠炎', '病情现状': '腹泻，腹痛，里急后重，下坠感，粪便中带有血和粘液，贫血', '': '直肠炎或直肠乙状结肠炎（累及远端 30 cm 结肠粘膜的疾病）', '检查项目': '血常规、血沉、大便常规、肠镜及病理', '项目结果': '直肠炎或直肠乙状结肠炎（累及远端 30 cm 结肠粘膜的疾病）', '重疾险': '延期', '防癌': '延期', '护理': '标体', '医疗险': '延期', '意外险': '标体', '特殊说明': '如病理结果有异常，则一律拒保'}

{'诊断': '慢性结/直肠炎/溃疡性结肠炎', '病情现状': '腹泻，腹痛，里急后重，下坠感，粪便中带有血和粘液，贫血', '': '急性发作期', '检查项目': '血常规、血沉、大便常规、肠镜及病理', '项目结果': '溃疡性结肠炎', '重疾险': '拒保', '防癌': '拒保', '护理': '延期', '医疗险': '拒保', '意外险': '标体', '特殊说明': '如病理结果有异常，则一律拒保'}

{'诊断': '慢性结/直肠炎/溃疡性结肠炎', '病情现状': '腹泻，腹痛，里急后重，下坠感，粪便中带有血和粘液，贫血', '': '缓解期', '检查项目': '血常规、血沉、大便常规、肠镜及病理', '项目结果': '溃疡性结肠炎', '重疾险': '拒保', '防癌': '拒保', '护理': '标体', '医疗险': '拒保', '意外险': '标体', '特殊说明': '如病理结果有异常，则一律拒保'}

{'诊断': '慢性结/直肠炎/溃疡性结肠炎', '病情现状': '腹泻，腹痛，里急后重，下坠感，粪便中带有血和粘液，贫血', '': '手术后一年以上，无再次发作', '检查项目': '血常规、血沉、大便常规、肠镜及病理', '项目结果': '溃疡性结肠炎', '重疾险': '拒保', '防癌': '拒保', '护理': '标体', '医疗险': '拒保', '意外险': '标体', '特殊说明': '如病理结果有异常，则一律拒保'}

{'诊断': '克罗恩病', '病情现状': '没有症状或只有轻微症状（即腹绞痛、非失能腹泻）：\n', '': '正常', '检查项目': '病历、物理检查、血常规、大便常规、肝功、肝脏超声、胃肠镜检查结果及病理结果', '项目结果': '正常', '重疾险': '拒保', '防癌': '拒保', '护理': '标体', '医疗险': '拒保', '意外险': '标体', '特殊说明': '如病理结果有异常，则一律拒保'}

{'诊断': '克罗恩病', '病情现状': '有症状或存在活动性疾病史（即发热、贫血、重度绞痛、脱水、体重减轻或住院治疗）', '': '/', '检查项目': '病历、物理检查、血常规、大便常规、肝功、肝脏超声、胃肠镜检查结果及病理结果', '项目结果': '/', '重疾险': '拒保', '防癌': '拒保', '护理': '延期', '医疗险': '拒保', '意外险': '标体', '特殊说明': '如病理结果有异常，则一律拒保'}

{'诊断': '克罗恩病', '病情现状': '有症状或存在活动性疾病史（即发热、贫血、重度绞痛、脱水、体重减轻或住院治疗）', '': '正常', '检查项目': '病历、物理检查、血常规、大便常规、肝功、肝脏超声、胃肠镜检查结果及病理结果', '项目结果': '正常', '重疾险': '拒保', '防癌': '拒保', '护理': '标体', '医疗险': '拒保', '意外险': '标体', '特殊说明': '如病理结果有异常，则一律拒保'}

{'诊断': '巨结肠', '病情现状': '腹胀、腹痛、便秘', '': '已手术（痊愈超过6个月）', '检查项目': '病历、物理检查、血常规、大便常规、肠道影像或造影', '项目结果': '先天性巨结肠', '重疾险': '标体', '防癌': '标体', '护理': '标体', '医疗险': '标体', '意外险': '标体', '特殊说明': ''}

{'诊断': '巨结肠', '病情现状': '腹胀、腹痛、便秘', '': '未手术/复发', '检查项目': '病历、物理检查、血常规、大便常规、肠道影像或造影', '项目结果': '先天性巨结肠', '重疾险': '延期', '防癌': '延期', '护理': '标体', '医疗险': '延期', '意外险': '标体', '特殊说明': ''}

{'诊断': '巨结肠', '病情现状': '腹胀、腹痛、便秘', '': '中毒性巨结肠', '检查项目': '病历、物理检查、血常规、大便常规、肠道影像或造影', '项目结果': '获得性巨结肠', '重疾险': '评点参照：溃疡性结肠炎', '防癌': '评点参照：溃疡性结肠炎', '护理': '评点参照：溃疡性结肠炎', '医疗险': '评点参照：溃疡性结肠炎', '意外险': '评点参照：溃疡性结肠炎', '特殊说明': ''}

{'诊断': '巨结肠', '病情现状': '腹胀、腹痛、便秘', '': '所有其他类型', '检查项目': '病历、物理检查、血常规、大便常规、肠道影像或造影', '项目结果': '获得性巨结肠', '重疾险': '按病因评点', '防癌': '按病因评点', '护理': '按病因评点', '医疗险': '按病因评点', '意外险': '按病因评点', '特殊说明': ''}

{'诊断': '肠梗阻', '病情现状': '呕吐、腹胀、腹痛、消瘦', '': '病因明确', '检查项目': '病历、肠道超声、物理检查', '项目结果': '未接受过手术且无症状（如疼痛、体重减轻）', '重疾险': '按病因评点', '防癌': '按病因评点', '护理': '按病因评点', '医疗险': '按病因评点', '意外险': '按病因评点', '特殊说明': ''}

{'诊断': '肠梗阻', '病情现状': '呕吐、腹胀、腹痛、消瘦', '': '≤ 6 个月', '检查项目': '病历、肠道超声、物理检查', '项目结果': '未接受过手术且无症状（如疼痛、体重减轻）', '重疾险': '延期', '防癌': '延期', '护理': '延期', '医疗险': '延期', '意外险': '标体', '特殊说明': ''}

{'诊断': '肠梗阻', '病情现状': '呕吐、腹胀、腹痛、消瘦', '': '6 个月至 2 年', '检查项目': '病历、肠道超声、物理检查', '项目结果': '未接受过手术且无症状（如疼痛、体重减轻）', '重疾险': '标体', '防癌': '标体', '护理': '标体', '医疗险': '延期', '意外险': '标体', '特殊说明': ''}

{'诊断': '肠梗阻', '病情现状': '呕吐、腹胀、腹痛、消瘦', '': '> 2 年', '检查项目': '病历、肠道超声、物理检查', '项目结果': '未接受过手术且无症状（如疼痛、体重减轻）', '重疾险': '标体', '防癌': '标体', '护理': '标体', '医疗险': '标体', '意外险': '标体', '特殊说明': ''}

{'诊断': '肠梗阻', '病情现状': '呕吐、腹胀、腹痛、消瘦', '': '由肠扭转、肠套叠或绞窄引起', '检查项目': '病历、肠道超声、物理检查', '项目结果': '接受过手术，单次发作，无症状（如疼痛、体重减轻）', '重疾险': '标体', '防癌': '标体', '护理': '标体', '医疗险': '标体', '意外险': '标体', '特殊说明': ''}

