{'疾病名称': '腹膜炎', '诊断': '急性腹膜炎', '病情现状': '现症未愈', '体检项目': '', '项目结果': '－', '重疾险': '延期', '防癌': '延期', '护理险': '延期', '医疗险': '延期', '意外险': '延期', '备注': ''}

{'疾病名称': '腹膜炎', '诊断': '急性腹膜炎', '病情现状': '已痊愈，无潜在病因（如胆囊已切除、阑尾已切除等），无后遗症', '体检项目': '病历、腹部影像学检查、血常规', '项目结果': '－', '重疾险': '标体', '防癌': '标体', '护理险': '标体', '医疗险': '标体', '意外险': '标体', '备注': '无潜在病因指消化道溃疡已治愈、胆囊已切除、阑尾已切除等病因已消除的情况。'}

{'疾病名称': '腹膜炎', '诊断': '急性腹膜炎', '病情现状': '已痊愈，有潜在病因或后遗症', '体检项目': '病历、腹部影像学检查、血常规', '项目结果': '－', '重疾险': '按病因评点', '防癌': '按病因评点', '护理险': '按病因评点', '医疗险': '按病因评点', '意外险': '按病因评点', '备注': ''}

{'疾病名称': '腹膜炎', '诊断': '慢性腹膜炎', '病情现状': '', '体检项目': '', '项目结果': '', '重疾险': '拒保', '防癌': '拒保', '护理险': '拒保', '医疗险': '拒保', '意外险': '拒保', '备注': ''}

{'疾病名称': '胸膜间皮瘤', '诊断': '/', '病情现状': '/', '体检项目': '/', '项目结果': '/', '重疾险': '拒保', '防癌': '拒保', '护理险': '拒保', '医疗险': '拒保', '意外险': '拒保', '备注': ''}

{'疾病名称': '胰腺炎', '诊断': '急性胰腺炎', '病情现状': '现症，或痊愈时间不足一年', '体检项目': '病历、腹部（胰腺、胆囊）影像学检查、淀粉酶、血糖相关化验（空腹血糖及糖化血红蛋白、糖耐量、胰岛素等）', '项目结果': '－', '重疾险': '延期', '防癌': '延期', '护理险': '延期', '医疗险': '延期', '意外险': '延期', '备注': ''}

{'疾病名称': '胰腺炎', '诊断': '急性胰腺炎', '病情现状': '发作次数不超过2次，最近一次痊愈超过一年', '体检项目': '病历、腹部（胰腺、胆囊）影像学检查、淀粉酶、血糖相关化验（空腹血糖及糖化血红蛋白、糖耐量、胰岛素等）', '项目结果': '检查全部正常', '重疾险': '标体', '防癌': '标体', '护理险': '标体', '医疗险': '视情况除外（胰腺、胆囊）', '意外险': '标体', '备注': ''}

{'疾病名称': '胰腺炎', '诊断': '急性胰腺炎', '病情现状': '发作次数超过2次', '体检项目': '病历、腹部（胰腺、胆囊）影像学检查、淀粉酶、血糖相关化验（空腹血糖及糖化血红蛋白、糖耐量、胰岛素等）', '项目结果': '－', '重疾险': '拒保', '防癌': '标体*', '护理险': '标体*', '医疗险': '拒保', '意外险': '标体*', '备注': '标体*需满足近1年无发作且血糖相关检查正常'}

{'疾病名称': '胰腺炎', '诊断': '慢性胰腺炎', '病情现状': '－', '体检项目': '－', '项目结果': '－', '重疾险': '拒保', '防癌': '标体*', '护理险': '标体*', '医疗险': '拒保', '意外险': '标体*', '备注': '标体*需满足近1年无发作且血糖相关检查正常'}

{'疾病名称': '胰腺炎', '诊断': '有以下情况之一者，重疾、防癌及医疗险需谨慎核保：慢性胰腺炎、胰腺回声增粗、胰腺回声不均、胰腺囊肿及其他胰腺异常', '病情现状': '有以下情况之一者，重疾、防癌及医疗险需谨慎核保：慢性胰腺炎、胰腺回声增粗、胰腺回声不均、胰腺囊肿及其他胰腺异常', '体检项目': '有以下情况之一者，重疾、防癌及医疗险需谨慎核保：慢性胰腺炎、胰腺回声增粗、胰腺回声不均、胰腺囊肿及其他胰腺异常', '项目结果': '有以下情况之一者，重疾、防癌及医疗险需谨慎核保：慢性胰腺炎、胰腺回声增粗、胰腺回声不均、胰腺囊肿及其他胰腺异常', '重疾险': '有以下情况之一者，重疾、防癌及医疗险需谨慎核保：慢性胰腺炎、胰腺回声增粗、胰腺回声不均、胰腺囊肿及其他胰腺异常', '防癌': '有以下情况之一者，重疾、防癌及医疗险需谨慎核保：慢性胰腺炎、胰腺回声增粗、胰腺回声不均、胰腺囊肿及其他胰腺异常', '护理险': '有以下情况之一者，重疾、防癌及医疗险需谨慎核保：慢性胰腺炎、胰腺回声增粗、胰腺回声不均、胰腺囊肿及其他胰腺异常', '医疗险': '有以下情况之一者，重疾、防癌及医疗险需谨慎核保：慢性胰腺炎、胰腺回声增粗、胰腺回声不均、胰腺囊肿及其他胰腺异常', '意外险': '有以下情况之一者，重疾、防癌及医疗险需谨慎核保：慢性胰腺炎、胰腺回声增粗、胰腺回声不均、胰腺囊肿及其他胰腺异常', '备注': '有以下情况之一者，重疾、防癌及医疗险需谨慎核保：慢性胰腺炎、胰腺回声增粗、胰腺回声不均、胰腺囊肿及其他胰腺异常'}

